0	Not Specified
1	Linux
2	Macintosh
3	IRIX
4	Windows NT
5	Windows 95
6	SunOS
7	FreeBSD
8	Windows 98
9	VMS
10	OSF/1
11	OS/2
12	Windows 3.x
13	Amiga OS
14	AIX
15	HP-UX
16	SEGA Saturn
17	WebTV
18	Acorn RICS OS
19	BeOS
20	Perl LWP::UserAgent Library
21	HotJava Browser (OS unavailable)
22	Windows 9x/NT
23	Windows 2000/NT 5
24	Keynote
25	Windows ME
31	Windows XP
32	Pocket PC
33	Windows CE
34	PalmOS
35	Offline Data Import
36	Windows Vista
37	Media Center 2004
38	Media Center 2005
39	Windows Server 2003 and XP x64 Edition
40	Macintosh (iPhone)
41	Windows 7
42	Playstation 3
43	Adobe AIR
44	Windows 8
45	Windows 8.1
361159	Android 9en-AUSM-M305MPPR1.180610.011
1194907	OS X 10.521.126
1299035	Android 11.6
1737895	Mobile iOS 13.5.5
2159061	OS X 10.41.8
2231136	iOS 10.52
2646580	Android 6.665.1
2658040	OS X 10.144.680
2835242	Mobile OS X 10.19
3151763	Android 2.0.0-R-20130404
3347499	Android 5.Q
3387444	Android 10000000000000099
3394479	OS X 11.65.160
3409139	Android 26.10.85
3697597	OS X 10.72.7
3743306	Android 2.0.0-R-20160912
3747790	Mobile Android 2.2
4031417	Android 5.0.1performence
4241179	Android 8.1.0fr-fr
4331860	OS X 10.470.308
4492505	Tizen 7.0
4521578	OS X 10.935.891
4701007	Android 4.1.2v
4709273	Mobile iOS 12.5.1
5249563	OS X 11.21.32
5780955	Android i997r
5980154	Android 16.2.2
6015124	Tizen 145
6025501	OS X 13.36.183
6561880	Android 90000
6608930	OS X 10.876.963
6812105	Windows 10 NT 10.0.18247
6850275	Android Dhall
6852735	Windows 10 NT 10.0.17643
6902129	Android 11-57-12-3
7124683	Android 4.8.3
7426828	Android Linux
7450079	OS X 10.184.419
7612941	Android 5.0.1000
7833089	Android 300.9.9
7864791	Android 13.13.8
7991172	Android 99.1.1
8612637	Android 2.1.0-R-20161206
8623320	OS X 8.4
8709299	Android Rama
8803542	Rex AMSS7500/4.0
9186093	Mobile iOS 4.3.5
9191851	Android 7.9.80
9413851	Android 2.0.0-R-20170705
9597838	Windows 10 NT 10.0.15060
9598636	Symbian v9.4
9831406	Android 1.2.0-R-20140124
9869526	Linux - Fedora 3.6.4-2
10069808	OS X 10.438.119
10159627	OS X 10.36.266
10167596	Android 8.0.0en-hk
10386847	Android 6.0en-INLenovo
10459743	Android 0.000
10498403	Android 9arSM-A307FNPPR1.180610.011
10655819	Android 11-57-12-10
10827802	Android 442.0
11225977	OS X 10.37.0
11344940	Android 1.2.9
11435262	Android 3.0.2-R-20171017
11604056	OS X 10.10.0
11627354	Mobile iOS 10.3.0
11689959	Android 7666
11696549	Android 58868888669
11814701	Android 7.0es-mx
12330385	Android 4.2.2_s8v01_20131025
12671042	OS X 13.1.2
12807794	Android 5.1.3-118
12810878	Android 5.1.2-117
13103615	Android 10.8
13185911	OS X 10.352.728
13802318	Android 555.555.555
13890139	OS X 10.54.0
13964400	Android 8.1ri
14494013	Android 6.0.1ru-ru
15399712	OS X 10.62.76
15569665	Android 8.0.0fr-dz
15594633	Android 8.1.2000
15806323	Android 12SM-N960N
15824549	Android 9_Phone-202011271133
15847595	Android 90.89.n09
16506979	Android 4.2.2-HiSTBAndroidV500R001C00CP0005
16579822	OS X 10.161.774
16618526	Android 6.3.16
16752203	Mobile iOS 14.6.0
16792668	Android 4.4.0OPPO
16796987	OS X 10.372.873
17106833	Android 4.9.
17326317	Android 3.8.7
17791110	Android 8.1.0Redmi
18147560	iOS 104.1
18283004	OS X 10.411.35
18329278	OS X 10.720.440
18382116	Android 20.0.0
18480725	Android 8.0.ari
18547286	OS X 10.53.0
18762256	OS X 13.11.71
18787537	Android 089660131293
18887270	Android 7.0.6-RS-20191216
19010439	Android 10.02
19068402	Android 8.8.0
19361755	Rex DG26
19372296	Android 2.2.1pro
19429466	Symbian 2.8
19679036	Android 12.4
19893691	Android 4.85
20002225	Android 3.4.67
20010844	Mobile iOS 15.0.2
20073418	Android 10.9.23
20171747	Linux - openSUSE 1.1.12-0
20251713	iOS 10.15.0
20574323	Android 6.1.8-RS-20220118
20804017	Linux - Fedora 4.14.30-2
20967904	OS X 11.69.51
21095456	iOS 3.12
21370316	Android 4.4.2en-USGT-N5100KOT49H
21385021	Windows 10 NT 10.0.17040
21454470	Android null
21478748	Android 99
21770610	OS X 10.36.3
21847765	Android 1.7.4-R-20150120
22610110	Android 3840
23012764	OS X 10.793.972
23258994	Android 3210.0
23343824	Android 6.0.1es-mx
23602489	iOS 5.2.5
24222038	OS X 10.92.8
24580974	Android 175930.0
24713468	iOS 13.8
24967093	OS X 10.918.104
25101680	Android 1.6.0-R-20140523
25348719	Android 9.03
25351357	Mobile OS X 10.19.7
25504201	Android 10.91.9
25712182	Android 5.7.5
25835934	Mobile iOS 6.5.2
25839042	Android 07.07.97
26008614	Android 9.0.0-RS-20220310
26044980	Android 7.15.136
26089726	OS X 10.14.79
26281693	Android 2.0.0-R-20161207
26599163	Android Enigma
26733320	OS X 10.59.4
26759600	Android 3.08
26761388	Android 16.1.15
27117917	Android 9.8.0
27275714	Android 10.0.1-RS-20211221
27468014	Android 9.9.4
27523073	RIM 7.192.100
27838962	Android 1290008
28016895	OS X 10.587.968
28024906	Android 7.0zh-Hans-CNSM-C7000NRD90M
28286065	OS X 10.00
28334031	Android 5.5.7
28625192	PlayStation 4 OS 6.71
28832280	Windows 10 NT 10.0.17682
29127237	Android 7.4.2
29204707	OS X 10.803.333
29951012	Android 7.0en-de
30281144	Android 55.0.2
30675726	OS X 17.79.102
30924579	Android U705_V2.12
30980903	OS X 10.368.472
31021617	Android 2.1.0-RS-20160108
31210379	OS X 17.98.126
31671118	Android 4XAdroniX.Hakier_BONZO_Edition.v3
32095937	Android 6.0es-ar
32540953	Android Kakan
32836144	OS X 10.31.5
32838446	Mobile iPadOS 14.8.1
32968687	Android 2.1.2-R-20150609
32985609	Android 7.0en-je
33164099	OS X 10.963.94
33211041	Android 100.1.0
33694288	Mobile iOS 11.000000
33794574	iOS 17.6.1
34091532	OS X 10.180.8
34253417	OS X 15.70.190
34693200	Mobile OS X 10.14.6
35135810	Android 1164.6.4
35202563	OS X 10.715.164
35319354	Mobile iPadOS 15.5
35346698	Android Material
35498739	Android 4.2.2i8
36125971	Android 9ar-iq
36208343	iOS 3.
36281055	OS X 10.571.27
36755427	Mobile iOS 11.0.2
37007823	Android 1.7.3-R-20140802
37110224	Android 1.13.0
37149298	Mobile OS X 10.1.4
37400961	Android 1.7.4-D-20140924
37534493	Android 2350.2.2350
37587277	Android 2.1.0-R-20160316
37778226	Android 5.1.1en-GBA33fLMY47V
37926969	OS X 10.26.6
38061244	iOS 10.42
38327078	Android 7.0id-IDvivo
38625286	iOS 7.9.1
38675467	Android 5.0.2-111
39146761	Android 64.0
39535676	Android 9id-IDPearl
39705112	Android 4.9
39870195	OS X 10.231.913
39894145	OS X 10.743.787
39940393	OS X 10.122.931
40093470	Android 8.0.0en-mu
40287978	Android 11.01.11
40374054	Android 4.0.4-2013-08-21-v1
40423352	Android 4.0.9
40586101	Android 9.0.0-RS-20200831
40695098	Mobile OS X 13.0
40716377	Android 9999.999
40800392	OS X 10.151.298
41094585	Windows 5.2.1
41424215	OS X 10.30.87
41515781	Windows
41758075	Android o
41851434	OS X 10.88.3
42361320	Android 7.0.1
42496551	Android 6.42
42533474	Android 6.1.6-RS-20200203
42597161	Android 100.1000
42775803	Linux - Fedora 4.5.4-2
42875116	iOS 11.7.8
43077199	Linux - Red Hat 3.6.17-1
43165754	Android 1.9.6
43183221	OS X 11.75.105
44357326	Android 10.6.7
44420462	OS X 10.490.248
44652153	iOS 12.20
45032782	Android 13.3.1
45134491	Android 10en-USCPH1931QKQ1.200209.002
45529832	Android 14.1.1
46126392	OS X 10.445.195
46495212	Android 100.10
46503221	Android 7.1.1e
47140881	Android 61.0.3163
47443739	Android 3.-1
47497065	Android 5.0.1_
47905216	Android 2.3.6-by-vaibhav
48070105	OS X 10.543.490
48465188	Android 199.99.3848
48484335	OS X 11.28.104
48530326	OS X 13.12.157
48756715	OS X 11.8.5
49030738	Android never
49494310	Android 8.0.0lt-lt
49633657	OS X 10.692.787
50009484	Android TAWseeF
50140548	Android 8.1image
50419277	Android 901
50671700	Android lolliKat-By_SanchitDang
50809236	Android 11.7
50811657	Android 11-3-58-4
50894212	OS X 10.410.222
50900298	OS X 10.288.766
51320523	Android 601.marshmallow
51337623	Mobile OS X 8.2.1
51669576	Android 8.0.0sr-rs
51755196	Android 10pt-BRSM-J810MQP1A.190711.020
51779107	OS X 10.44.1
52030931	Android 2.1.0-R-20161008
52359033	Android 30.6.7
52409230	Android 6.0en-dm
52541011	Android 7578.99
52943275	Android 9en-USLM-Q720PKQ1.190302.001
52950015	Android 5.1.147V
52979270	Android 4.Avoed.1
53034543	OS X 10.8.13
53946150	Android 7.4.3
54131427	Android 4.4.TU84P
54170053	Android 9fr-FRLM-G810PKQ1.190302.001
54243455	Android 12.5.1
54246776	OS X 13.49.144
54310363	OS X 12.94.93
54365618	Android 12.4.006
55056957	Windows Phone 10.0.14926
55404626	Windows 10 NT 10.0.14388
55541737	Android 50.1.0
55748390	OS X 10.23.1
56338062	Android 9.5.1
56344923	Android 5.10.1
56576056	OS X 17.24.106
56618959	OS X 10.494.431
56991868	Android 8.0.0en-ki
57586036	Mobile OS X 10.13.3
57854985	iOS 8.4.2
57897317	Android 1000.0.1000
58133032	Android 1.2.0-R-20140122
58202367	OS X 10.858.676
58206740	OS X 10.138.516
58544743	OS X 10.740.212
58622304	Android 10.6.4
58753534	Android Lan-2.3.4
58861487	Android 4.4.4sea
58958794	Windows 8.1 NT 6.35
58970297	iPadOS 15.5.0
59076615	Android 8.1.0zh-gr
59249476	Android 55555555
59291235	Tizen 5528
59554829	Android 5.05.0
59650799	Android 06-04-14
59855871	Android 11.2.6
59873466	Android 4.52
60712105	Android Prashant2.3.6
60768700	Android 7.11
60831946	Windows 10 NT 10.0.14951
61273131	Android 24.5
62081083	iOS 20.11
62280243	Android 21.01.2002
62628592	Windows 10 NT 10.0.14989
63030056	Android 5.06.00
63083749	Android 9en-dk
63497955	OS X 10.82.0
64062444	OS X 10.22.2
64491578	OS X 10.87.8
64954881	OS X 10.776.450
65011442	Android 4.2.2_s8v01_20130820
65077268	Android 8.DNT
65275751	OS X 10.692.238
65416444	Android 8.0.0iw-il
65490589	Android 16.7
65980948	Android IOS8.1
66007123	Android Maviya
66063497	Android 9.0.1
66198780	Mobile OS X 6.0.2
66271745	OS X 11.93.3
66501103	Android OMINIKANG
66561029	OS X 10.629.592
66796487	iOS 10.11
67800929	Android 7.0en-ke
68334709	Android 9ce4e2f63a049ad0
68622282	Android 5.0.2b
68765704	Android 5.0.1b
68779461	Android Dualcore-4.0.0
68779782	Android 4.4.2-5
69335015	Android 6.0ar-lb
69431985	Android 7.1.1_r13
69865924	Android 3.3.1-R-20170721
69878229	OS X 14.7.167
69918867	Android 9.200
70158521	OS X 10.540.242
70278924	Android 1417.1417
70552798	Windows 10 NT 10.0.16275
70601979	Android 8.0.V
71011662	OS X 10.864.543
71016876	Windows NT 345
71082242	OS X 13.66.186
71100443	Windows Phone 8.10.14191
71198138	Android 4.10.10
71298199	Android 4.4.4cept
71300196	Android 20.12
71337589	iOS 7.4.5
71649423	OS X 10.09
71809720	Android 99.7.7
72106006	OS X 10.26.7
72670802	Roku OS 9.42
72719143	OS X 10.667.916
72744757	Roku OS 9.31
72829294	Android 6.6.10
72892442	OS X 10.5.2
72918130	Mobile OS X 11.7
72953157	Android 1000.9.9
72954070	iOS 9.2.
72962630	Chrome OS 9.0
73508279	OS X 10.236.481
73543010	Android 6.1.15
73783121	OS X 10.817.124
74093174	Android 3.0.2-R-20160317
74189276	OS X 10.122.254
74340697	Android Build
74431933	Android 11.33
74659188	Android 4.4.2-R-6ce28f8
74888177	Android 6.0.11
75232463	Android 3.9.4
75302626	Android 6.4.9
75646350	Android 7.9.5
75719580	Android 7.0SM-T585
75751772	Android 6.0103.106
76253224	Android 8.1.0id-IDRedmi
76282473	OS X 10.930.835
76426274	Windows 7 NT 5.0
76846653	Windows Phone 10.0.14332
76924745	Android 7.0arLenovo
76998447	Android 998.998.998
77169818	OS X 10.51.6
77307767	OS X 10.9.1.
77521594	Android 7.0N
77648451	Android 1.6.1-R-20140401
77769664	Android 7.0_Lomaster_ROM
78028075	Roku OS 9.11
78163030	Android 1431503651
78313063	OS X 11.02
78463094	Android 1.7.2-R-20140628
79117787	Android .
79263069	Android 6.0.1fr-cd
79552803	OS X 10.76.2
79622185	Android 16_x
79862937	OS X 10.213.382
79903010	Android 8.8.7
80240179	OS X 10.11.666
80259472	Android 1032021.0
80339834	Android 6.163
80591295	Android 2.le
80891620	Android 7.0.Coiso
81319760	iOS 4.8.0
81380587	OS X 12.72.105
81391257	Tizen 93
81835203	OS X 10.698.260
82539591	Android 11.0.0_r35
82799946	Android 30.1
82979247	Windows Phone 10.0.12562
83088821	Android SandwichXperia
84010037	Android 9999xxx
84017225	Maemo 4.0
84401481	OS X 10114
84426677	OS X 13.48.112
84862422	Android 590.0
85300234	Android 1.4.1b
85746602	Android 12LL
85842975	Android 10000000.00000000.000000
85913484	Android 2.0.0-R-20161015
86112115	iOS 12.0.4
86145489	Android _T
86493214	Android 4.1.1
86570995	Android 66.6
86920832	OS X 14.38.126
86981524	Windows Phone 10.0.13522
87212611	OS X 10.81.5
87700258	Windows 10 NT 10.0.18995
87872662	Android 11.6.9
87982912	Android 11223.46.78
88094500	Android Win7
88299099	Android 7.68
88341737	Android 1.11.3
88483726	Android 5.32
88808724	Android 2.0.0-R-20170801
88823924	Android 50.0
89079920	Android 7.0fr-cg
89714150	iOS 9.7.0
89791644	Android 20.4.8
89931101	Android 50.10.10
89954220	Mobile OS X 9.0
90231214	Android 8.1.0en-as
90455340	OS X 10.74.3
90572571	Android 8079
90833285	Mobile iOS 14.8
91026444	OS X 10.441.512
91030844	Android 11.3.1
91039352	Android 4.2.2-2013-09-20-v1
91127288	Windows 10 NT 10.0.17661
91264929	Android 9ru-RUHLK-AL00HONORHLK-AL00
91295979	Android 3.1415926
91453680	OS X 10.755.147
91958860	Android 4321
92000484	OS X 10.1.3
92017006	Android 10.
92363037	Mobile iOS 13.6
92389226	OS X 16.10.0
92614464	Android 224.0
92985946	L4 AMSS6800/53203
93412122	Windows 10 NT 10.0.17704
93908923	Android 5.1en-USFlare_S3_PowerLMY47I
93949691	Android 12.3.578
93974803	Android 7.1pt
94119761	Android 4.4.21H
94367766	OS X 10.789.172
94514297	Android 10.10.5
94671612	Android 3.0.6
